"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Student\MyExamsStudent.js", "JavaScript", 92, 0, 0, 0, 7, 99
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Student\MyExamsStudent.module.css", "CSS", 0, 84, 0, 0, 16, 100
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Student\Submission.js", "JavaScript", 68, 0, 0, 0, 10, 78
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Student\Submission.module.css", "CSS", 0, 24, 0, 0, 6, 30
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\AssignmentsPreview\AssignmentsPreviewAssignments.js", "JavaScript", 100, 0, 0, 0, 6, 106
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\AssignmentsPreview\AssignmentsPreviewAssignments.module.css", "CSS", 0, 84, 0, 0, 17, 101
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\AssignmentsPreview\AssignmentsPreviewCourses.js", "JavaScript", 72, 0, 0, 0, 5, 77
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\AssignmentsPreview\AssignmentsPreviewCourses.module.css", "CSS", 0, 66, 0, 0, 12, 78
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\AssignmentsPreview\AssignmentsPreviewSubmissionDetails.js", "JavaScript", 48, 0, 0, 0, 9, 57
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\AssignmentsPreview\AssignmentsPreviewSubmissionDetails.module.css", "CSS", 0, 20, 0, 0, 5, 25
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\AssignmentsPreview\AssignmentsPreviewSubmissions.js", "JavaScript", 71, 0, 0, 0, 5, 76
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\AssignmentsPreview\AssignmentsPreviewSubmissions.module.css", "CSS", 0, 36, 0, 0, 7, 43
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\AssignmentsPreview\FileItem.js", "JavaScript", 21, 0, 0, 0, 2, 23
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\AssignmentsPreview\FileItem.module.css", "CSS", 0, 21, 0, 0, 4, 25
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\AssignmentsPreview\Section.js", "JavaScript", 78, 0, 0, 0, 6, 84
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\AssignmentsPreview\Section.module.css", "CSS", 0, 40, 0, 0, 7, 47
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Assignments\AssignmentDetails.js", "JavaScript", 149, 0, 0, 0, 11, 160
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Assignments\AssignmentDetails.module.css", "CSS", 0, 39, 0, 0, 8, 47
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Assignments\CheckAssignments.js", "JavaScript", 107, 0, 0, 0, 7, 114
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Assignments\CheckAssignments.module.css", "CSS", 0, 84, 0, 0, 17, 101
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\Assignments\Description.js", "JavaScript", 39, 0, 0, 0, 6, 45
